"","SITE","SOIL","Ece","EC","Cle","pHe","pH.1.5","OM","OC","Nt","P","P2O5","M","SP","M.SP"
"MSHM314","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM315","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM316","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM317","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM318","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM319","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM320","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM321","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM322","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM323","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM324","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM325","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM326","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM327","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM328","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM329","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM330","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM331","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM332","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM333","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM334","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM335","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM336","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM337","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM338","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM339","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM340","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM341","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM342","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM343","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM344","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM345","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM346","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM347","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
"MSHM348","Hoze Soltan Lake","Saline Soil",92.1,9.97,4850,7.5,7.6,0.9,0.52,0.063,10.2,23.7,3,28.3,0.11
