Sample ID ,Eurotiales,Diaporthales,Ophiostomatales,Boletales ,Amphisphaeriales,Saccharomycetales,Hypocreales,Pleosporales,Xylariales,Sordariales,Unknown
MSHM144,0,0,0,0,0,0,0,0,0,0,0
MSHM145,0,0,0,0,0,0,0,0,0,0,0
MSHM146,0,0,0,0,0,0,0,0,0,0,0
MSHM147,0,0,0,0,0,0,0,0,0,0,0
MSHM148,0,0,0,0,0,0,0,0,0,0,0
MSHM149,0,0,0,0,0,0,0,0,0,0,0
MSHM150,0,0,0,0,0,0,0,0,0,0,0
MSHM151,0,0,0,0,0,0,0,0,0,0,0
MSHM152,0,0,0,0,0,0,0,0,0,0,0
MSHM153,0,0,0,0,0,0,0,0,0,0,0
MSHM154,0,0,0,0,0,0,0,0,0,0,0
MSHM155,0,0,0,0,0,0,0,0,0,0,0
MSHM156,0,0,0,0,0,0,0,0,0,0,0
MSHM157,0,0,0,0,0,0,0,0,0,0,0
MSHM158,0,0,0,0,0,0,0,0,0,0,0
MSHM159,0,0,0,0,0,0,0,0,0,0,0
MSHM160,0,0,0,0,0,0,0,0,0,0,0
MSHM161,0,0,0,0,0,0,0,0,0,0,0
MSHM162,0,0,0,0,0,0,0,0,0,0,0
MSHM163,0,0,0,0,0,0,0,0,0,0,0
MSHM164,0,0,0,0,0,0,0,0,0,0,0
MSHM165,0,0,0,0,0,0,0,0,0,0,0
MSHM166,0,0,0,0,0,0,0,0,0,0,0
MSHM167,0,0,0,0,0,0,0,0,0,0,0
MSHM168,0,0,0,0,0,0,0,0,0,0,0
MSHM169,0,0,0,0,0,0,0,0,0,0,0
MSHM170,0,0,0,0,0,0,0,0,0,0,0
MSHM171,0,0,0,0,0,0,0,0,0,0,0
MSHM172,0,0,0,0,0,0,0,0,0,0,0
MSHM173,0,0,0,0,0,0,0,0,0,0,0
MSHM174,0,0,0,0,0,0,0,0,0,0,0
MSHM175,0,0,0,0,0,0,0,0,0,0,0
MSHM176,0,0,0,0,0,0,0,0,0,0,0
