,SITE,SOIL,Ece,EC,Cle,pHe,pH 1:5,OM,OC,Nt,P,P2O5,M,SP,M:SP
MSHM4923,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4924,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4925,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4926,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4927,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4928,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4929,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4930,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4931,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4932,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4933,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4934,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4935,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4936,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4937,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4938,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4939,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4940,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4941,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4942,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4943,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4944,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4945,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4946,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4947,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4948,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4949,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4950,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4951,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4952,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4953,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4954,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4955,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4956,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4957,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4958,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4959,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4960,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4961,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4962,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4963,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4964,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4965,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4966,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4967,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4968,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4969,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4970,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4971,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4972,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4973,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4974,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4975,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4976,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4977,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4978,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4979,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4980,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4981,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4982,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4983,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4984,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4985,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4986,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4987,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4988,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4989,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4990,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4991,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4992,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4993,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4994,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4995,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4996,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4997,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4998,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM4999,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5000,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5001,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5002,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5003,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5004,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5005,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5006,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5007,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5008,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5009,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5010,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5011,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5012,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5013,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5014,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5015,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5016,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5017,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5018,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5019,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5020,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5021,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5022,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5023,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5024,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5025,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5026,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5027,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5028,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5029,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5030,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5031,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5032,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5033,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5034,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5035,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5036,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5037,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5038,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5039,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5040,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5041,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5042,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5043,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5044,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5045,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5046,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5047,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5048,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5049,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5050,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5051,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5052,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5053,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5054,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5055,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5056,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5057,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5058,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5059,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5060,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5061,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5062,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5063,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5064,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5065,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5066,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5067,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5068,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5069,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5070,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5071,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5072,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5073,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5074,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5075,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5076,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5077,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5078,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5079,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5080,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5081,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5082,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5083,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5084,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5085,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5086,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5087,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5088,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5089,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5090,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5091,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5092,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5093,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5094,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5095,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5096,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5097,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5098,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5099,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5100,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5101,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5102,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5103,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5104,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5105,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5106,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5107,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5108,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5109,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5110,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5111,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5112,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5113,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5114,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5115,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5116,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5117,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5118,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5119,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5120,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5121,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5122,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5123,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5124,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5125,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5126,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5127,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5128,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5129,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
MSHM5130,Garmsar,Arid soil,6.8,1.02,685,8,7.9,0.38,0.17,0.028,3.9,9.12,0.9,24.08,0.03
