,SITE,SOIL,Ece,EC,Cle,pHe,pH 1:5,OM,OC,Nt,P,P2O5,M,SP,M:SP
MSHM18,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM19,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM20,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM21,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM22,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM23,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM24,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM25,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM26,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM27,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM28,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM29,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM30,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM31,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM32,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM33,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM34,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM35,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM36,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM37,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM38,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM39,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM40,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM41,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM42,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM43,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM44,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM45,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM46,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM47,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM48,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM49,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM50,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
MSHM51,Sorkhe,Gypsum Soil,9.42,2.96,1270,8,7.6,0.15,0.09,0.018,0.54,1.25,19,49.9,0.38
